AxIS Spike File,D:\hMO testing\Raw data\SNCAND34391H_Feb132020\Extracted raw data\Feb132020_ND3439SNCA_WTest3_1h\Feb132020_ND3439SNCA_WTest3_1h(000)(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,600.000000
Active Electrode Criterion (spks/min), 5
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,Adaptive,
    Min # of Spikes,5.000000
    Min # of Electrodes (%),20.000000
Synchrony Settings,
    Synchrony Window,20.000000

Evoked Analysis Settings,
    Events,0 to 0
    Peri-stimulus Window Start (ms),0.000000
    Peri-stimulus Window End (ms),100.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,,,,,,,,,,,,,,,,,,,,,,,,
Activity Metrics
    Median ISI within Burst - Avg (sec),0.017363,0.017726,0.006839,0.014937,0.016886, ,0.012891,0.011372,0.015330,0.019561, , ,0.032104,0.011825,0.015507,0.027640,0.011171,0.013482, ,0.016228,0.011884,0.012222,0.011536,0.016269
    Median ISI within Burst - Std (sec),0.011121,0.013727,0.003782,0.007060,0.008032, ,0.009393,0.009293,0.008171,0.009333, , ,0.018152,0.004365,0.008760, ,0.003347, , ,0.007058,0.004913,0.003041,0.004233,0.011602
    Median/Mean ISI within Burst - Avg,0.751719,0.731200,0.634296,0.680967,0.800596, ,0.662088,0.687786,0.713722,0.808675, , ,0.846973,0.707871,0.776831,1.115416,0.670861,0.724752, ,0.736961,0.715745,0.698451,0.681664,0.722605
    Median/Mean ISI within Burst - Std,0.186009,0.123620,0.051945,0.106939,0.044703, ,0.084895,0.119435,0.097917,0.120479, , ,0.218316,0.097781,0.152457, ,0.097827, , ,0.104893,0.202589,0.063822,0.073654,0.124218
    Inter-Burst Interval - Avg (sec),38.161253,12.684687,8.671823,14.344504,14.427098, ,8.116105,18.943445,27.230207,18.470278, , ,198.901862,18.941853,22.473339, ,42.822817,17.474371, ,34.634509,22.947653,4.584385,9.161200,15.954826
    Inter-Burst Interval - Std (sec),6.916642,9.157010,0.050215,15.710366,10.330960, ,1.520153,18.340743,28.353167,8.900780, , ,185.224146,19.012542,37.630819, ,7.912429,0.000000, ,15.001478,36.115038,0.819053,1.826426,24.121455
    Inter-Burst Interval (Median) - Avg (sec),35.549513,11.806790,8.654185,8.212944,14.427098, ,7.863863,12.329693,11.601249,15.530401, , ,124.068040,10.680937,6.944741, ,42.456385,17.474371, ,32.362113,4.952234,4.430778,8.973801,6.663552
    Inter-Burst Interval (Median) - Std (sec),0.001813,7.808548,0.000565,1.787825,7.305092, ,0.246996,0.002167,0.333927,3.257398, , ,106.867785,1.958508,1.542059, ,6.073575,0.000000, ,11.607336,0.106624,0.484780,1.191881,0.403360
    Burst Frequency - Avg (Hz),0.012879,0.117778,0.104792,0.110556,0.050833, ,0.075000,0.063542,0.062833,0.057000, , ,0.013611,0.054583,0.075758,0.001667,0.018333,0.056667, ,0.032833,0.078333,0.172619,0.102292,0.080741
    Burst Frequency - Std (Hz),0.010140,0.094815,0.000589,0.062855,0.020035, ,0.037332,0.020996,0.036303,0.026653, , ,0.021224,0.029138,0.056683, ,0.010715, , ,0.016631,0.081616,0.060865,0.029827,0.067977
    Normalized Duration IQR - Avg,0.250626,0.772679,0.266687,0.546336,0.402678, ,0.490169,0.356423,0.278171,0.348543, , ,0.540692,0.472815,0.506314, ,0.524006,0.500410, ,0.451761,0.591217,0.433918,0.478206,0.423205
    Normalized Duration IQR - Std,0.133128,0.333073,0.123893,0.243170,0.019195, ,0.381463,0.252379,0.130124,0.127267, , ,0.215570,0.287904,0.137401, ,0.324263,0.000000, ,0.216465,0.114436,0.098716,0.140468,0.066741
    IBI Coefficient of Variation - Avg,1.667378,2.504067,1.512719,1.720297,2.441635, ,3.153395,0.844673,0.429241,0.810286, , ,0.761064,3.081755,2.087135, ,0.396106,0.783385, ,0.595204,2.778791,0.972665,0.948357,1.973957
    IBI Coefficient of Variation - Std,0.156705,0.871900,0.004287,0.466596,0.775455, ,1.356793,0.014433,0.344984,0.271735, , ,0.336140,1.234887,0.872214, ,0.201199,0.000000, ,0.319357,1.120038,0.077867,0.197023,0.621139
    Burst Percentage - Avg,43.152138,50.408488,59.888918,40.625390,13.746072,0.000000,63.737235,64.020535,61.493435,68.845743,0.000000,0.000000,5.712458,47.871766,58.451943,1.225490,67.917758,30.948678,0.000000,74.926516,29.851548,70.965354,68.386158,48.578927
    Burst Percentage - Std,37.027748,46.366888,49.314903,41.964543,30.638023,0.000000,17.251955,45.533867,42.322143,30.132907,0.000000,0.000000,4.907975,39.656141,40.359558,3.466210,39.067577,53.604683,0.000000,30.293839,43.158388,40.399731,44.109240,44.004764
Network Burst Metrics
    Network Bursts Ignored Flag,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
